# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52748.18339057097  0.00921296296  -7.19925e-01  2.01844e+00  0.16427
52748.20653871912  0.01019675926  1.96107e+00  1.97665e+00  0.14419
52748.22857575615  0.01005787037  1.99376e-01  1.61993e+00  0.22023
52748.25008617283  0.00921875000  -1.85507e+00  1.40067e+00  0.32050
52748.27342529319  0.01019675926  3.26350e-01  1.27334e+00  0.33592
52748.29566487652  0.01026041667  -1.29962e+00  1.24116e+00  0.34598
52748.31703061727  0.00928819444  -2.42834e-01  1.34131e+00  0.33866
52748.33933385801  0.00928819444  7.50825e-01  1.32632e+00  0.33002
52748.36249358023  0.01014467593  1.86665e+00  1.40092e+00  0.27102
52748.38883617282  0.01420717593  7.63046e-01  1.30810e+00  0.22127
52748.41572274690  0.00926504630  -1.48125e-01  1.50703e+00  0.24885
52748.43888825615  0.01013888889  2.91870e-01  1.30654e+00  0.29703
52749.56837320986  0.00360532407  1.10614e+00  2.22481e+00  0.31581
52749.57663709875  0.00300347222  -1.18445e+00  2.32986e+00  0.33499
52749.59327483023  0.00945601852  2.97418e+00  1.32448e+00  0.32676
52749.61622043209  0.01008680556  9.08005e-01  1.26608e+00  0.33905
52749.63765561727  0.00929976852  1.62844e+00  1.32240e+00  0.33597
52749.65992413578  0.00924189815  1.45240e+00  1.35555e+00  0.33710
52749.68226209875  0.00921875000  3.40209e+00  1.60477e+00  0.25611
52749.70490098764  0.00923032407  -1.81398e+00  1.84400e+00  0.18944
52749.72813015430  0.01008680556  2.46577e+00  1.42350e+00  0.28516
52749.75036395060  0.01014467593  6.61965e-01  1.33683e+00  0.32831
52749.77275399690  0.01019675926  2.37924e+00  1.27079e+00  0.33751
52749.79410237653  0.00921875000  3.06240e+00  1.30061e+00  0.33809
52749.81728524690  0.01008680556  3.55860e+00  1.27242e+00  0.33709
52749.83949589504  0.01007523148  3.18505e+00  1.28601e+00  0.32186
52749.86202483023  0.01035879630  2.25354e+00  1.36395e+00  0.27423
52749.88394033949  0.01009837963  -1.89779e-01  1.53460e+00  0.23906
52749.90523663579  0.00916087963  3.09600e+00  1.31884e+00  0.33260
52749.92764404319  0.00927662037  2.08136e+00  1.26161e+00  0.34839
52749.94997043208  0.00928819444  2.08136e+00  1.24833e+00  0.34970
52749.97227367282  0.00928819444  3.13508e+00  1.14310e+00  0.38783
52749.99458848764  0.00928819444  4.06903e+00  1.34926e+00  0.35505
52750.01688015430  0.00923032407  3.61263e+00  1.45128e+00  0.30285
52750.03927598764  0.00928819444  1.20256e+00  1.69846e+00  0.23897
52750.06163709875  0.00928819444  3.94264e+00  2.08914e+00  0.15928
52750.08347737653  0.00924189815  3.56770e+00  1.79536e+00  0.19786
52750.10586163578  0.00928819444  5.20875e-01  1.54402e+00  0.27727
52750.12818802468  0.00927662037  2.96958e-01  1.34018e+00  0.34207
52750.15122621912  0.00997685185  4.04406e+00  1.21593e+00  0.34893
